JUBILEE,,,,,,,,,,,,,,,,
Purchase Register from 01/01/2026 to 25/03/2026,,,,,,,,,,,,,,,,
Pur No.,Date,Party Name,Inv Date,Inv. No.,Cash,Product Name,Size/Col,Qty,Rate,Taxable Amt,Disc Amt,Tax,GST Amt,Others,Net Amt,
"1,003 06/01/2026",,BISMILLAHA AGENCIES,06/01/2026,B2B-3766,Credit,MALATHION(METHOL) 500G BOX RS6050.00,N,,26.5,1325.14,0,0,0,0,1325.14,
"1,003 06/01/2026",,BISMILLAHA AGENCIES,06/01/2026,B2B-3766,Credit,TISSUE PAPER ROYAL NAPKIN80PULLS RS45.0060.00,N,,29,1740.26,0,18,0,0,1740.26,
"1,003 06/01/2026",,BISMILLAHA AGENCIES,06/01/2026,B2B-3766,Credit,NAPKIN POSTER PAPER HARD80G 60PS30.00,N,,13.5,404.98,0,5,0,0,404.98,
,,,,,,,,140,,3470.38,,,,,3470.38,
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,KOPIKO,161.GM,N,24,36.19,868.56,0,5,0,0,868.56
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,KOPIKO JUMBO JAR,N,675,0.85,571.43,0,5,0,0,571.43,
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,AJAY TB HARD RS22,N,36,13.33,479.88,0,5,0,0,479.88,
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,KOPIKO PKT 402..8GM,N,16,73.33,1173.28,0,5,0,0,1173.28,
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,AJAY TB MEDIUM RS22,N,36,13.33,479.88,0,5,0,0,479.88,
"1,004 06/01/2026",,VADUKKOOT AGENCIES,06/01/2026,B2B-4582/25-26Cash,,AJAY TB MEDIUM RS22,N,36,13.33,479.88,0,5,0,0,479.88,
,,,,,,,,823,,4052.91,,,,,4052.91,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE ATTA 2KG N,,10,113.11,1131.06,0,5,0,0,1131.06,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE RAVA 500GM,N,40,35.04,1401.68,0,5,0,0,1401.68,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE SOYA CHUNKS 200GM,N,1,32.49,32.49,0,5,0,0,32.49,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE MAIDA 500GM,N,40,33.2,1328.04,0,5,0,0,1328.04,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE MAIDA 1KG,N,20,63.1,1262.1,0,5,0,0,1262.1,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE RAGI POWDER 500GM,N,13,48.78,634.16,0,5,0,0,634.16,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE BROCKEN WHEET 500 GM44.00,N,,33.49,1473.36,0,5,0,0,1473.36,
"1,005 06/01/2026",,KM TRADERS,06/01/2026,B2B2040,Credit,ELITE CHAKKI,ATTA 1KG,N,20,58.11,1162.14,0,5,0,0,1162.14
,,,,,,,,188,,8425.03,,,,,8425.03,
"1,006 06/01/2026",,KM TRADERS,06/01/2026,B2B2055,Cash,ELITE SOYA CHUNKS 200GM,N,19,30.77,584.66,0,5,0,0,584.66,
,,,,,,,,19,,584.66,,,,,584.66,
"1,007 06/01/2026",,ARRIKAR PRIVATE LIMITED KOOVAPPADY PO EKM06/01/2026,,AFLXF01711,Cash,PAVIZHAM RICBRAN OIL 1LTR POCH10.00,N,,162.36,1623.62,0,5,0,0,1623.62,
"1,007 06/01/2026",,ARRIKAR PRIVATE LIMITED KOOVAPPADY PO EKM06/01/2026,,AFLXF01711,Cash,PAVIZHAM TAMARIND 500GM 10410.00,N,,82.32,823.2,0,0,0,0,823.2,
"1,007 06/01/2026",,ARRIKAR PRIVATE LIMITED KOOVAPPADY PO EKM06/01/2026,,AFLXF01711,Cash,PAVIZHAM NIRADEEPAM,N,1LTR*(12)12.00,166.32,1995.79,0,5,0,0,1995.79,
"1,007 06/01/2026",,ARRIKAR PRIVATE LIMITED KOOVAPPADY PO EKM06/01/2026,,AFLXF01711,Cash,PAVIZHAM TAMARIND 500GM 1041.00,N,,82.32,82.32,0,0,0,0,82.32,
"1,007 06/01/2026",,ARRIKAR PRIVATE LIMITED KOOVAPPADY PO EKM06/01/2026,,AFLXF01711,Cash,PAVIZHAM UNDA MATT,N,LOOSE50.00,48,2400,0,0,0,0,2400,
,,,,,,,,83,,6924.93,,,,,6924.93,
"1,008 06/01/2026",,KAIRALI MARKETING,06/01/2026,KB25-26/2779,Cash,BRAHMINS SAMBAR POW 18GM150.00,N,,8.2,1230,0,5,0,0,1230,
"1,008 06/01/2026",,KAIRALI MARKETING,06/01/2026,KB25-26/2779,Cash,BRA SAMBAR POW 250GRM,N,10,110.7,1107,0,5,0,0,1107,
"1,008 06/01/2026",,KAIRALI MARKETING,06/01/2026,KB25-26/2779,Cash,BRA PICKLEPOWDER 100GM,N,10,41,410,0,5,0,0,410,
"1,008 06/01/2026",,KAIRALI MARKETING,06/01/2026,KB25-26/2779,Cash,BRA FRIED RAVA 500GM,N,10,53.2,532,0,5,0,0,532,
"1,008 06/01/2026",,KAIRALI MARKETING,06/01/2026,KB25-26/2779,Cash,BRA FRIED RAVA 1KG,N,5,98.4,492,0,5,0,0,492,
,,,,,,,,185,,3771,,,,,3771,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,CAD DAIRY MILK 13.2GX56U RS10.00112.00,N,,9.09,1018.18,0,5,0,0,1018.18,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,DAIRYMILK MRP 5 (72U),N,144,4.55,654.54,0,5,0,0,654.54,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,DAI MILK CHOCOLATE BIG FAMILY123G 9810.00,N,,87.5,874.99,0,5,0,0,874.99,
JUBILEE,,,,,,,,,,,,,,,,
Purchase Register from 01/01/2026 to 25/03/2026,,,,,,,,,,,,,,,,
Pur No.,Date,Party Name,Inv Date,Inv. No.,Cash,Product Name,Size/Col,Qty,Rate,Taxable Amt,Disc Amt,Tax,GST Amt,Others,Net Amt,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,CAD CHOCOBAKES CAKES 19GM 1045.00,N,,8.64,388.63,0,5,0,0,388.63,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,CAD DAIRY MILK 20.2GM RS20 (40)40.00,N,,17.86,714.29,0,5,0,0,714.29,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,CAD DAIRY MILK 40GM 45(30U) 30.00,N,,40.18,1205.36,0,5,0,0,1205.36,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,DAI CRISPELLO 13G RS10.00 (40U)40.00,N,,9.09,363.64,0,5,0,0,363.64,
"1,009 09/01/2026",,BEENA ASSOCIATES,09/01/2026,MDLZ6983,Credit,FIVE STAR 5 (54N),N,54,4.55,245.45,0,5,0,0,245.45,
,,,,,,,475,,,5465.08,,,,,5465.08,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO KILLIN CRE&ONION 48GM 206.00,N,,16.06,96.37,0,5,0,0,96.37,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO MASALA MASSACRE 48GM 206.00,N,,16.06,96.37,0,5,0,0,96.37,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO ORI&STY CHILLI SPRINKLED 90GM 506.00,N,,42.81,256.86,0,5,0,0,256.86,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO ORIGI STY HOT&SPICY KOREAN STY 90GM6.00,N,,42.81,256.86,0,5,0,0,256.86,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO MAD ANG ACHAARI MASTI 60GM6.00,N,,16.06,96.37,0,5,0,0,96.37,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,SF BINGO TOMATO CHIPS 90GM,N,4,42.81,171.24,0,5,0,0,171.24,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO CHILLI SPRINKLED ORIGINAL 52GM6.00,N,,16.06,96.37,0,5,0,0,96.37,
"1,010 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052171,Credit,BINGO ORIGI STY HOT&SPICY KOREAN 21GM 106.00,N,,8.91,53.46,0,5,0,0,53.46,
,,,,,,,46,,,1123.9,,,,,1123.9,
"1,011 09/01/2026",,BLUEBERRY,09/01/2026,25-26/052277,Cash,SF DREM CREM STRRWBERRY VANI 90GM30.00,N,,15.95,478.44,0,5,0,0,478.44,
,,,,,,,30,,,478.44,,,,,478.44,
"1,012 09/01/2026",,CHERUVATHUR AGENCIES,09/01/2026,CABB/2437/25-26Credit,,SWARNAM,GINGELLY OIL1LR,N,24,194.36,4664.65,0,5,0,0,4664.65
