Product,Qty
7 UP 400+150ML 20.00,30
7 UP 2.5L,9
7 UP 750ML,15
7 UP 750ML,24
MALATHION(METHOL) 500G BOX RS6050.00,26
TISSUE PAPER ROYAL NAPKIN80PULLS RS45.0060.00,29
NAPKIN POSTER PAPER HARD80G 60PS30.00,13
KOPIKO 161.GM,24
KOPIKO JUMBO JAR,675
AJAY TB HARD RS22,36
KOPIKO PKT 402..8GM,16
AJAY TB MEDIUM RS22,36
AJAY TB MEDIUM RS22,36
ELITE ATTA 2KG,10
ELITE RAVA 500GM,40
ELITE SOYA CHUNKS 200GM,1
ELITE MAIDA 500GM,40
ELITE MAIDA 1KG,20
ELITE RAGI POWDER 500GM,13
ELITE BROCKEN WHEET 500 GM44.00,33
ELITE CHAKKI ATTA 1KG,20
ELITE SOYA CHUNKS 200GM,19
PAVIZHAM RICBRAN OIL 1LTR POCH10.00,162
PAVIZHAM TAMARIND 500GM 10410.00,82
PAVIZHAM NIRADEEPAM,1
PAVIZHAM TAMARIND 500GM 1041.00,82
BRAHMINS SAMBAR POW 18GM150.00,8
BRA SAMBAR POW 250GRM,10
BRA PICKLEPOWDER 100GM,10
BRA FRIED RAVA 500GM,10
BRA FRIED RAVA 1KG,5
CAD DAIRY MILK 13.2GX56U RS10.00112.00,9
DAIRYMILK MRP 5 (72U),144
DAI MILK CHOCOLATE BIG FAMILY123G 9810.00,87
CAD CHOCOBAKES CAKES 19GM 1045.00,8
CAD DAIRY MILK 20.2GM RS20 (40)40.00,17
CAD DAIRY MILK 40GM 45(30U) 30.00,40
DAI CRISPELLO 13G RS10.00 (40U)40.00,9
FIVE STAR 5 (54N),54
BINGO KILLIN CRE&ONION 48GM 206.00,16
BINGO MASALA MASSACRE 48GM 206.00,16
BINGO ORI&STY CHILLI SPRINKLED 90GM 506.00,42
BINGO ORIGI STY HOT&SPICY KOREAN STY 90GM6.00,42
BINGO MAD ANG ACHAARI MASTI 60GM6.00,16
SF BINGO TOMATO CHIPS 90GM,4
BINGO CHILLI SPRINKLED ORIGINAL 52GM6.00,16
BINGO ORIGI STY HOT&SPICY KOREAN 21GM 106.00,8
SF DREM CREM STRRWBERRY VANI 90GM30.00,15
SWARNAM GINGELLY OIL1LR,24
SWARNAM GINGELY OIL 100 ML50.00,23
SWARNAM GINGELY OIL 500ML24.00,102
DG NAIL SAVER SCRUBBER 25,36
AVT PREMIUM LEAF TEA 250GM 1408.00,120
A V T PREMIUM LEAF TEA 500GM4.00,239
AVT PREMIUM COFFE 100GM(RS33)66.00,73
AVT PREMIUM TEA 250GM,96
AVT GREEN TEA 100GM,6
PRAN POTATO BISCUIT50GM(*48N)48.00,19
PRAN LITCHI 150ML*(72N),72
PRAN LITCHI 200ML*(48N),48
PRAN FLOAT DRINKO LICHI 250ML(35)(24N)24.00,29
KATHIR RICE PWD 5KG,20
KATHIR RIC PWD 1/2GM,100
MILMA GHEE 200 ML,25
ELITE BRAN FLAKES 34KG,3
KERALAGLOD COCONUT OIL1L30.00,254
AMUL COW GHEE 500ML,3
AMUL COWGHEE 200ML(128),12
AMUL COOKING BTR 100GM,24
AMUL CHEESE SLICE 100GM,10
AMUL CHEESE SLICE 200GM,3
AMUL FRESH CREAM 250ML,10
AMULYA MILK POW 200 GM,10
AMUL PANEER 200G MRP115,5
AMUL BITTER CHOCOLATE 150GM2.00,144
AMULYA MILK PWD 100GM,10
AMUL MITHAI MATE 200GM,12
MILKY MIST C BUTTER 100GM,24
MILKY MIST CHEESE SLICE 100GM24.00,63
MILKY MIST PANEER CUBES 200GM10.00,100
JEERAKASALA ROSE KAIMA1,30
INDIA GATE (W) SELLA 30 KG,60
MUBARAK EVERYDAY 30KG,30
HARPIC ORIGINAL POW PLU 500 ML48.00,99
HARPIC ORIGINAL POW PLU 200ML48.00,41
HARPIC BATH ULT CITRUSH SPLASH 522ML 14924.00,137
LIZOL LAVENDER CLE 500+125ML 625ML24.00,113
LIZOL CITRUS 500ML,12
LIZOL FLORAL 500ML,12
LIZOL SANDAL 500ML,12
DETTOL ASL REG 550 ML,15
DETTOL 250 ML,24
DETTOL 125 ML,24
DETTOL 60 ML,25
COLIN 250ML ULT(52.00),6
LG POWDER 15GM 25,20
CHANDRIKA 150GM CLA,24
MEDIMIX CLASSIC 125GM,24
MEDIMIX CLEARGLY OIL&ALOEVEAR3+1 400GM 1406.00,126
MEDIMIX CLEARGLY OIL&ALOEVEAR3+1 400GM 1406.00,132
HARPIC 1L ORIGINAL PWR PLUS32.00,180
CHANDRIKA 75GM CLA,48
MEDIMIX NATURAL GLY OIL&HONEY 3+1 400GM6.00,126
LIZOL NEEM 500ML,12
ELITE DREAMS BUTTER CUP CAKE(6*1)RS505.00,44
ELITE VANILA BAR CAKE(130GM)MRP3520.00,29
ELITE ORANGE CHOCO CAKE(130GM)3510.00,29
ELITE BLACK RAISIN CAKE 140GM(53)6.00,44
ELITE JACKJFRUIT PUDDING SLICED CAKE140GM 536.00,44
ELITE DREAMS CHOCOCUP CAKE 170GM(MRP53)10.00,44
ELITE DREAMS STRAWBERY CUP CAKE170GM6* 535.00,44
ELITE DREAMS CARROT PUDDING CUPCAKE 170GM 605.00,44
ELITE PINAPPLE CHOCOLATE 130GM(40)10.00,29
ELITE BANANA PUDDING SLICED CAKE 140GM-536.00,44
ELITE CARROT PUDDING CAKE SLICED 140GM 536.00,44
ELITE DATES PUD SLICED CAKE 140GM 536.00,44
MALKIST CHEESE FAMILY RS50.0060.00,30
MALKIST CHOCOLATE 150GM,60
CRAZE MILKRUNCH 300GM,24
CRAZE COFFEE MARIE 200GM 4036.00,29
NESCAFE GOLD ORIGINAL BLEND 50GRM2.00,331
MAGGI TOMATO KETCHUP 480GM 1208.00,89
MAGGI MASALA 140GM,20
KITKAT DUO 3FINGER 25 28.5G (28N)28.00,17
NESCAFE ICED FRAPPE 170ML,12
NESCAFE SUNRICE SAC 1.99GM 156U624.00,1
