Product,Avg_Rate
7 up  2.5l,99.05555555555556
7 up 1 ltr,49.30555555555556
7 up 250ml pet,19.51
7 up 600ml,39.404761904761905
7 up 750ml,44.0625
7o clock ss 10,29.0
[goose berry],57.142857142857146
aashirvaad s,9.75
aashirvad ch,55.247933884297524
aer power poc,63.0
ajay tb hard,20.0
ajay tb mediu,24.0
ajmi fride soo,80.1923076923077
ajmi fried rav,40.0
ajmi puttupod,76.2183908045977
ajmi rice  pow,75.8
ajmi rice poed,299.0
ajmi rice pwd,40.0
ajmistem putt,39.804913294797686
alp juztjelly,9.9
alp pop astd 4,4.95
alpenliebe go,28.714285714285715
amara,56.30705394190871
amul butter,59.5
amul cheese s,101.16666666666667
amul chocoba,19.914285714285715
amul cooking,61.0
amul fresh cr,67.0
amul kool ro,24.5
amul mithai m,65.22222222222223
amul paneer 2,94.0
amul tricone,35.81818181818182
amul tru nut,9.9
amulya 1kgpc,450.0
amulya 200 gm,94.0
amulya 24gm,9.95
amulya 500pc,230.0
amulya pwd 1,47.0
amulya yum c,48.0
amulya yum o,48.0
amulya yum s,48.0
anar,226.28378378378378
andiparippe,900.0
appa soda loo,90.58823529411765
apple,204.07407407407408
arasan 150 gm,15.5
ariel perfect,69.1875
ariel pw 90gm,9.753658536585366
ariel pw biue5,89.0
atta loose,55.0
avil kashnam,83.59375
avt premium c,70.0
avt premium t,86.36103351955308
ayamodhaka,300.0
b natural ma,9.5
badam,1000.0
bajji mulak,105.21739130434783
bambino long,30.0
bambino past,40.5
bambino verm,25.875
barkathsilve,69.99521531100478
beans,68.5427135678392
beetroot,30.969125214408233
bellam 1/2kg,30.196428571428573
bellam 1kg,56.10076045627376
bellam 250g,15.843373493975903
big onion,39.00713063320023
bingo cheese,49.0
bingo chilli s,19.575
bingo cream&,19.583333333333332
bingo hashta,29.75
bingo hot&sp,25.575
bingo mad an,25.2972972972973
bingo nachos,24.541666666666668
bingo ori&sty,40.16904761904762
bingo origi st,32.93181818181818
bingo popped,19.55
bingo tomato,19.5
bkd roasted r,61.15384615384615
bodhini rice p,270.0
bodhini roast,54.31428571428572
boost 200 gm p,98.0
boost 200gm p,122.0
boost 500g cs,235.0
boost sachet,4.952163461538461
br goodday c,49.0
bra picklepow,48.0
bra sambar po,50.0
bread,50.751295336787564
bri 50 50 200 gm,39.0
bri 50 50 golma,19.0
bri 50 50 sweet,9.75064935064935
bri 50-50(150gx,29.0
bri arrowroo,42.265151515151516
bri biscafe co,34.0
bri bourbon 1,34.310810810810814
bri brita 150g,29.0
bri butter go,21.32608695652174
bri cashew go,9.915384615384616
bri chocochip,59.00925925925926
bri digestive(,59.476190476190474
bri good day,19.5
bri goodday b,31.245454545454546
bri goodday c,39.0
bri gooddayc,29.016666666666666
bri little hea,9.912903225806453
bri maska cha,29.0
bri milk bikis,35.3962962962963
bri milk crea,54.13235294117647
bri nc cracke,54.5
bri pista bada,54.0
bri tiger coco,9.833333333333334
bri tiger krun,19.5
bri tiger(rs10,9.75
bri tiger(rs20)2,24.0
bri time pass c,24.0
bri toastea r,40.86144578313253
bri treat jim j,39.0
bri vita marie,49.0
brinjal,38.69565217391305
bru green lab,72.93916666666667
bru ins 4.6gm r,4.99
